#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-40.69679,94,448.024935
-42.602245,99,448.441142
-46.985195,99,448.860865
-40.30097,99,449.278968
-41.297832,99,449.704343
-38.842197,99,450.399559
-46.051704,99,451.047559
-41.37282,99,451.628561
-38.743156,99,452.184558
-41.517204,99,452.747562
-36.89599,94,453.291563
-30.341316,99,453.711303
-31.001745,99,454.12714
-30.713991,99,454.543789
-40.18114,99,454.959497
-41.80768,99,455.644862
-38.367226,99,456.196862
-45.145924,99,456.745863
-44.36656,99,457.288862
-45.43802,99,457.875862
-52.16073,94,458.320863
-48.811916,99,458.739863
-47.59436,99,459.160865
-46.559128,99,459.583817
-46.850067,99,460.003813
-46.59589,99,460.584858
-44.453476,99,461.134862
-38.429054,99,461.673862
-40.632774,99,462.325862
-40.299515,99,462.871862
-39.98789,94,463.315909
-40.599262,99,463.736691
-43.755527,99,464.155574
-40.99299,99,464.575264
-40.65525,99,464.983266
-42.33819,99,465.672249
